1,Goroka,Goroka,Papua New Guinea,GKA,AYGA
2,Madang,Madang,Papua New Guinea,MAG,AYMD
3,Mount Hagen,Mount Hagen,Papua New Guinea,HGU,AYMH
4,Nadzab,Nadzab,Papua New Guinea,LAE,AYNZ
5,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,POM,AYPY
6,Wewak Intl,Wewak,Papua New Guinea,WWK,AYWK
7,Narsarsuaq,Narssarssuaq,Greenland,UAK,BGBW
8,Nuuk,Godthaab,Greenland,GOH,BGGH
9,Sondre Stromfjord,Sondrestrom,Greenland,SFJ,BGSF
10,Thule Air Base,Thule,Greenland,THU,BGTL
11,Akureyri,Akureyri,Iceland,AEY,BIAR
12,Egilsstadir,Egilsstadir,Iceland,EGS,BIEG
13,Hornafjordur,Hofn,Iceland,HFN,BIHN
14,Husavik,Husavik,Iceland,HZK,BIHU
15,Isafjordur,Isafjordur,Iceland,IFJ,BIIS
16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF
17,Patreksfjordur,Patreksfjordur,Iceland,PFJ,BIPA
18,Reykjavik,Reykjavik,Iceland,RKV,BIRK
19,Siglufjordur,Siglufjordur,Iceland,SIJ,BISI
20,Vestmannaeyjar,Vestmannaeyjar,Iceland,VEY,BIVM
21,Sault Ste Marie,Sault Sainte Marie,Canada,YAM,CYAM
22,Winnipeg St Andrews,Winnipeg,Canada,YAV,CYAV
23,Shearwater,Halifax,Canada,YAW,CYAW
24,St Anthony,St. Anthony,Canada,YAY,CYAY
25,Tofino,Tofino,Canada,YAZ,CYAZ
26,Kugaaruk,Pelly Bay,Canada,YBB,CYBB
27,Baie Comeau,Baie Comeau,Canada,YBC,CYBC
28,Bagotville,Bagotville,Canada,YBG,CYBG
29,Baker Lake,Baker Lake,Canada,YBK,CYBK
30,Campbell River,Campbell River,Canada,YBL,CYBL
31,Brandon Muni,Brandon,Canada,YBR,CYBR
32,Cambridge Bay,Cambridge Bay,Canada,YCB,CYCB
33,Nanaimo,Nanaimo,Canada,YCD,CYCD
34,Castlegar,Castlegar,Canada,YCG,CYCG
35,Miramichi,Chatham,Canada,YCH,CYCH
36,Charlo,Charlo,Canada,YCL,CYCL
37,Kugluktuk,Coppermine,Canada,YCO,CYCO
38,Coronation,Coronation,Canada,YCT,CYCT
39,Chilliwack,Chilliwack,Canada,YCW,CYCW
40,Clyde River,Clyde River,Canada,YCY,CYCY
41,Fairmont Hot Springs,Coral Harbour,Canada,YZS,CYCZ
42,Dawson City,Dawson,Canada,YDA,CYDA
43,Burwash,Burwash,Canada,YDB,CYDB
44,Princeton,Princeton,Canada,YDC,CYDC
45,Deer Lake,Deer Lake,Canada,YDF,CYDF
46,Dease Lake,Dease Lake,Canada,YDL,CYDL
47,Dauphin Barker,Dauphin,Canada,YDN,CYDN
48,Dawson Creek,Dawson Creek,Canada,YDQ,CYDQ
49,Edmonton Intl,Edmonton,Canada,YEG,CYEG
50,Arviat,Eskimo Point,Canada,YEK,CYEK
51,Estevan,Estevan,Canada,YEN,CYEN
52,Edson,Edson,Canada,YET,CYET
53,Eureka,Eureka,Canada,YEU,CYEU
54,Inuvik Mike Zubko,Inuvik,Canada,YEV,CYEV
55,Iqaluit,Iqaluit,Canada,YFB,CYFB
56,Fredericton,Fredericton,Canada,YFC,CYFC
57,Forestville,Forestville,Canada,,CYFE
58,Flin Flon,Flin Flon,Canada,YFO,CYFO
59,Fort Resolution,Fort Resolution,Canada,YFR,CYFR
60,Fort Simpson,Fort Simpson,Canada,YFS,CYFS
61,Kingston,Kingston,Canada,YGK,CYGK
62,La Grande Riviere,La Grande Riviere,Canada,YGL,CYGL
63,Gaspe,Gaspe,Canada,YGP,CYGP
64,Geraldton Greenstone Regional,Geraldton,Canada,YGQ,CYGQ
65,Iles De La Madeleine,Iles De La Madeleine,Canada,YGR,CYGR
66,Hudson Bay,Hudson Bay,Canada,YHB,CYHB
67,Dryden Rgnl,Dryden,Canada,YHD,CYHD
68,Ulukhaktok Holman,Holman Island,Canada,YHI,CYHI
69,Gjoa Haven,Gjoa Haven,Canada,YHK,CYHK
70,Hamilton,Hamilton,Canada,YHM,CYHM
71,St Hubert,Montreal,Canada,YHU,CYHU
72,Hay River,Hay River,Canada,YHY,CYHY
73,Halifax Intl,Halifax,Canada,YHZ,CYHZ
74,Atikokan Muni,Atikokan,Canada,YIB,CYIB
75,Pond Inlet,Pond Inlet,Canada,YIO,CYIO
76,St Jean,St. Jean,Canada,YJN,CYJN
77,Stephenville,Stephenville,Canada,YJT,CYJT
78,Kamloops,Kamloops,Canada,YKA,CYKA
79,Waterloo,Waterloo,Canada,YKF,CYKF
80,Schefferville,Schefferville,Canada,YKL,CYKL
81,Kindersley,Kindersley,Canada,YKY,CYKY
82,Buttonville Muni,Toronto,Canada,YKZ,CYKZ
83,Chapleau,Chapleau,Canada,YLD,CYLD
84,Meadow Lake,Meadow Lake,Canada,YLJ,CYLJ
85,Lloydminster,Lloydminster,Canada,YLL,CYLL
86,Alert,Alert,Canada,YLT,CYLT
87,Kelowna,Kelowna,Canada,YLW,CYLW
88,Mayo,Mayo,Canada,YMA,CYMA
89,Moose Jaw Air Vice Marshal C M Mcewen,Moose Jaw,Canada,YMJ,CYMJ
90,Fort Mcmurray,Fort Mcmurray,Canada,YMM,CYMM
91,Moosonee,Moosonee,Canada,YMO,CYMO
92,Maniwaki,Maniwaki,Canada,YMW,CYMW
93,Montreal Intl Mirabel,Montreal,Canada,YMX,CYMX
94,Natashquan,Natashquan,Canada,YNA,CYNA
95,Gatineau,Gatineau,Canada,YND,CYND
96,Matagami,Matagami,Canada,YNM,CYNM
97,Old Crow,Old Crow,Canada,YOC,CYOC
98,Cold Lake,Cold Lake,Canada,YOD,CYOD
99,High Level,High Level,Canada,YOJ,CYOJ
100,Ottawa Macdonald Cartier Intl,Ottawa,Canada,YOW,CYOW
101,Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA
102,Peace River,Peace River,Canada,YPE,CYPE
